Id;DescricaoCategoria;CreateAt;UpdateAt;Habilitado
0916293a-364c-45b0-b40d-3e4d94e3a157;HAMBUGERS;2022-11-22 17:04:36.765520;;1
0ec02c31-4b92-4615-820a-e0ecc39d85f4;EXECUTIVOS 1;2022-11-22 17:04:36.765382;;1
181c8f13-a949-43b9-8044-68b68cf2ff5c;GUARNIÇÕES;2022-11-22 17:04:36.765517;;1
30f540f0-b4d2-4e07-8389-df485d7e56ac;MASSA/SALADA;2022-11-22 17:04:36.765515;;1
414d345b-343e-441e-87d2-d2c8a21ea1a0;TURBINE;2022-11-22 17:04:36.765518;;1
568e978f-2fd3-4fb9-b9fa-3571b2aeb8a9;EXECUTIVOS 3;2022-11-22 17:04:36.765515;;1
5d8a3428-2216-4825-b5c9-d77b58dae1cc;MOLHOS;2022-11-22 17:04:36.765518;;1
5e6b0684-ed24-45ae-9e24-5025fc24c5b1;PORÇÕES;2022-11-22 17:04:36.765519;;1
74a7db57-dde4-43e0-bcf3-1d021d29c422;STROGONOFF;2022-11-22 17:04:36.765520;;1
8b529551-651c-49da-8ba4-6258f03fd9c6;CHURRASCARIA;2022-11-22 17:04:36.765521;;1
9e8c7d25-0ac4-45fe-ac7b-7abf510b6d81;GRELHADOS ESPECIAIS;2022-11-22 17:04:36.765517;;1
c0d40978-52cd-4105-88e3-76f0d7cd7c67;PROMO/ DIVERSOS;2022-11-22 17:04:36.765517;;1
c77b00c1-d303-495e-b7f7-699e50a21522;BEBIDAS;2022-11-22 17:04:36.765519;;1
cd3f9ef8-a462-4ee3-a2fb-771f881316b4;BEIRUTES;2022-11-22 17:04:36.765521;;1
dd6df9b0-4aae-4287-8c2c-7af542cd0e93;GRELHADOS;2022-11-22 17:04:36.765516;;1
ed226617-8ff9-4b61-8ac4-931307f907f2;EXECUTIVOS 2;2022-11-22 17:04:36.765509;;1
